"alg","N","ub","lb","n","d","seed","totaltime","max_particles","tot_particles","scoretype","am","aw","chi","edgepf"
"gobnilp",300,1,0.25,30,0,51,0.601223,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,52,0.027000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,52,0.768523,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,53,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,53,0.492227,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,54,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,54,0.605414,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,55,0.0269999999999992,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,55,0.770922,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,56,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,56,0.622956,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,57,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,57,0.652466,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,58,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,58,0.741062,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,59,0.0449999999999999,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,59,0.741156,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,60,0.0219999999999985,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,60,0.74522,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,61,0.0390000000000015,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,61,0.630351,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,62,0.0220000000000002,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,62,0.578708,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,63,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,63,1.158891,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,64,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,64,0.669753,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,65,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,65,0.667556,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,66,0.027000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,66,0.730389,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,67,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,67,0.536775,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,68,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,68,0.65581,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,69,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,69,0.623889,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,70,0.0260000000000016,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,70,0.677858,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,71,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,71,0.850594,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,72,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,72,0.60353,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,73,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,73,0.761202,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,74,0.0299999999999994,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,74,0.752707,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,75,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,75,0.658411,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,76,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,76,0.550345,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,77,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,77,0.68821,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,78,0.0269999999999992,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,78,0.760353,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,79,0.0220000000000002,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,79,0.465052,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,80,0.0280000000000005,"1","30","bge",0.1,"NULL",0.5,2
